Altitude (m)	Pressure (Pa)
9251.031175	29617
9253.510829	29605
9250.129668	29631
9232.345063	29697
9235.718938	29680
9237.068875	29686
9241.345133	29657
9241.120011	29661
9246.524623	29646
9247.200449	29629
9249.678951	29631
9248.101636	29627
9255.540191	29602
9269.082058	29544
9269.533838	29530
9377.082051	29054
9298.272666	29409
9299.63289	29398
9341.228096	29237
9358.56462	29146
9396.558913	28979
9400.459836	28965
9406.42954	28939
9396.558913	28993
9304.168594	29387
9305.302911	29383
9310.295762	29359
9309.387746	29362
9310.068749	29345
9417.691954	28882
9410.335158	28919
9331.207842	29271
9330.525088	29263
9349.891788	29182
9353.542391	29166
9355.14004	29158
9360.620053	29132
9362.447536	29119
9367.475211	29113
9368.846929	29100
9370.676243	29093
9371.36234	29088
9372.048496	29086
9372.277227	29086
9376.395475	29065
9377.082051	29061
9418.381992	28898
9493.017883	28554
9494.875106	28554
9397.017749	28972
9400.459836	28961
9411.943894	28904
9408.496989	28928
9420.222377	28873
9531.175449	28397
9530.242656	28400
9491.625242	28602
9428.969849	28836
9437.726659	28802
9439.80201	28781
9438.648972	28791
9436.804449	28796
9449.493936	28750
9451.341317	28737
9454.344199	28732
9454.575236	28720
9456.885959	28716
9458.272706	28710
9459.890874	28701
9465.209962	28679
9470.763999	28651
9474.468783	28638
9477.711845	28628
9522.318209	28438
9557.57091	28281
9565.998019	28243
9496.268299	28553
9498.823104	28537
9500.449304	28533
9596.266754	28123
9606.145956	28077
9609.677142	28063
9646.255858	27904
9641.999577	27929
9575.137207	28206
9565.763815	28246
9560.847086	28282
9549.853686	28312
9550.321189	28317
9652.407747	27872
9629.244048	27986
9586.869093	28156
9560.378981	28267
9559.44285	28271
9561.081149	28266
9560.847086	28271
9561.783378	28272
9562.719777	28263
9570.449166	28227
9577.716776	28188
9580.531781	28190
9580.531781	28182
9585.460376	28163
9595.091454	28124
9610.383563	28052
9611.090045	28051
9710.845176	27641
9719.432293	27600
9704.172567	27672
9702.267112	27677
9626.412194	27987
9624.760733	27992
9625.704384	27991
9628.535992	27990
9626.884101	27976
9632.313	27964
9632.076886	27961
9637.981795	27950
9639.16329	27944
9641.290413	27925
9640.817671	27929
9641.526794	27925
9645.546324	27908
9660.93342	27833
9675.63747	27786
9675.162731	27778
9678.486483	27764
9680.623898	27760
9678.486483	27773
9686.564106	27732
9692.270786	27718
9694.173902	27707
9802.429946	27244
9714.660553	27624
9707.508188	27640
9713.468056	27620
9714.660553	27612
9732.808077	27543
9737.590479	27512
9760.105539	27431
9760.105539	27428
9760.825133	27435
9757.947139	27441
9739.504228	27515
9744.529964	27489
9753.3924	27449
9774.028998	27363
9862.446149	26999
9861.717484	26998
9807.977316	27220
9796.163569	27280
9784.366994	27327
9790.865027	27290
9809.907726	27217
9830.688694	27133
9821.016503	27172
9825.367561	27160
9825.609355	27159
9830.446748	27131
9835.529119	27113
9838.434762	27108
9841.825995	27088
9852.493406	27038
9856.861397	27021
9966.834424	26572
9980.378759	26520
9979.88584	26524
9969.295341	26569
9967.818701	26565
9979.146517	26521
9916.305578	26774
9917.528273	26766
9919.729592	26778
9921.19747	26768
9922.910332	26762
9919.484971	26768
9913.127433	26790
9928.051095	26737
9936.381172	26693
9938.83283	26688
9937.361746	26694
9935.64582	26701
9937.116591	26699
9936.381172	26700
9937.116591	26692
9941.530512	26680
9944.965228	26667
9953.312766	26629
9953.558412	26628
9954.049728	26628
9956.015287	26622
9967.326547	26584
9967.080482	26573
9968.556987	26559
9975.204604	26538
9985.062997	26503
9986.296143	26500
9985.062997	26501
9986.789454	26494
9992.711542	26476
10011.49354	26399
10010.50393	26396
10017.1862	26365
10092.05883	26053
10123.85971	25937
10124.36152	25943
10123.60882	25953
10122.35447	25947
10121.10033	25949
10104.06329	26025
10102.31152	26037
10032.30361	26308
10033.04783	26314
10034.28833	26303
10035.03273	26300
10041.73537	26271
10042.23209	26274
10042.48045	26271
10042.72883	26272
10041.73537	26273
10041.98372	26267
10046.2069	26253
10053.66497	26232
10056.15253	26216
10056.40133	26215
10056.15253	26213
10085.31419	26104
10173.43895	25741
10188.0944	25671
10191.88896	25684
10184.80723	25705
10154.52751	25826
10099.80966	26046
10086.81251	26086
10086.31304	26101
10087.06226	26090
10088.06132	26086
10095.05827	26048
10098.80913	26046
10098.55902	26040
10101.81109	26034
10107.0672	26006
10106.06577	26011
10106.06577	26019
10107.56796	26014
10107.56796	26010
10118.84335	25963
10120.59872	25952
10129.38133	25920
10208.6064	25591
10238.07328	25485
10261.01041	25404
10260.75519	25395
10234.51118	25495
10144.96269	25866
10269.43718	25372
10263.05245	25394
10184.55442	25745
10162.84306	25788
10157.55035	25805
10155.28311	25812
10159.81823	25797
10173.94386	25739
10262.03137	25419
10250.55313	25456
10241.12778	25487
10235.01996	25503
10191.88896	25680
10191.88896	25670
10196.95117	25651
10197.71078	25656
10198.97695	25651
10200.24332	25641
10198.97695	25652
10201.50989	25649
10206.32469	25613
10209.36711	25604
10219.77074	25568
10222.05628	25554
10225.10467	25536
10258.20346	25409
10253.10243	25424
10255.39749	25427
10255.39749	25432
10254.6324	25421
10258.4586	25412
10259.22406	25406
10262.28663	25405
10264.83966	25387
10266.11649	25382
10267.90438	25372
10269.43718	25372
10273.27047	25348
10320.69927	25065
10353.68036	24976
10400.29174	24884
10381.09631	24887
10295.28347	25270
10295.79613	25265
10299.89852	25255
10399.51265	24851
10455.54134	24674
10395.87789	24868
10376.95202	25062
10326.35821	25146
10461.2968	24626
10459.72672	24639
10444.04289	24698
10424.22095	24771
10423.69998	24770
10356.52104	25031
10354.97145	25026
10349.29221	25056
10349.55027	25049
10354.97145	25041
10458.41855	24638
10455.01833	24646
10474.91718	24572
10473.34441	24579
10464.96154	24603
10379.28292	24946
10378.50588	24935
10491.97551	24526
10505.12225	24459
10501.17595	24489
10494.07753	24512
10494.86593	24502
10444.82635	24683
10410.94697	24827
10404.96789	24843
10407.307	24835
10407.307	24832
10406.78714	24832
10407.307	24834
10408.86678	24825
10413.54797	24814
10414.06827	24805
10417.71133	24791
10525.14703	24362
10472.29607	24591
10498.28324	24483
10566.40936	24258
10448.48351	24672
10446.65472	24678
10448.7448	24678
10447.96095	24676
10444.56519	24691
10449.79004	24676
10450.05137	24670
10458.68017	24639
10458.15695	24632
10570.38821	24220
10572.77649	24209
